,,"Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)"
"Countries, territories and areas","Year","Both sexes","Male","Female","Both sexes","Male","Female"
"Malawi","2019","6221 [5121-7329]","4772 [3928-5621]","1450 [1193-1708]","33.4 [27.5-39.3]","51.9 [42.8-61.2]","15.4 [12.6-18.1]"
"Malawi","2018","6009 [4940-7085]","4608 [3788-5434]","1401 [1151-1651]","33.1 [27.2-39.1]","51.5 [42.4-60.7]","15.2 [12.5-18.0]"
"Malawi","2017","5804 [4765-6849]","4456 [3658-5258]","1348 [1107-1591]","32.8 [27.0-38.8]","51.2 [42.0-60.4]","15.0 [12.4-17.8]"
"Malawi","2016","5601 [4600-6625]","4301 [3532-5087]","1300 [1068-1538]","32.6 [26.7-38.5]","50.7 [41.7-60.0]","14.9 [12.2-17.6]"
"Malawi","2015","5421 [4437-6405]","4145 [3393-4897]","1276 [1044-1508]","32.4 [26.5-38.2]","50.2 [41.1-59.4]","15.0 [12.3-17.7]"
"Malawi","2014","5232 [4277-6187]","3995 [3266-4724]","1237 [1011-1463]","32.1 [26.3-38.0]","49.8 [40.7-58.9]","15.0 [12.2-17.7]"
"Malawi","2013","5041 [4111-5972]","3837 [3129-4546]","1204 [982-1426]","31.8 [26.0-37.7]","49.2 [40.1-58.3]","15.0 [12.2-17.7]"
"Malawi","2012","4854 [3948-5760]","3683 [2996-4371]","1171 [952-1389]","31.5 [25.6-37.4]","48.6 [39.5-57.7]","15.0 [12.2-17.8]"
"Malawi","2011","4521 [3684-5359]","3427 [2793-4063]","1094 [891-1296]","30.2 [24.6-35.8]","46.5 [37.9-55.2]","14.4 [11.7-17.1]"
"Malawi","2010","4448 [3623-5273]","3381 [2754-4008]","1067 [869-1265]","30.6 [24.9-36.3]","47.3 [38.5-56.0]","14.4 [11.8-17.1]"
"Malawi","2009","4360 [3541-5178]","3318 [2695-3940]","1042 [846-1238]","30.9 [25.1-36.7]","47.7 [38.8-56.7]","14.5 [11.8-17.2]"
"Malawi","2008","4300 [3486-5114]","3280 [2659-3901]","1020 [827-1213]","31.3 [25.4-37.3]","48.6 [39.4-57.8]","14.6 [11.9-17.4]"
"Malawi","2007","4238 [3432-5045]","3228 [2614-3843]","1010 [818-1202]","31.8 [25.7-37.8]","49.2 [39.8-58.5]","14.9 [12.1-17.7]"
"Malawi","2006","4204 [3397-5010]","3192 [2579-3804]","1012 [818-1206]","32.4 [26.2-38.6]","50.0 [40.4-59.6]","15.4 [12.4-18.3]"
"Malawi","2005","4158 [3359-4957]","3140 [2537-3744]","1018 [822-1213]","32.9 [26.6-39.3]","50.5 [40.8-60.2]","15.9 [12.8-18.9]"
"Malawi","2004","4050 [3267-4833]","3058 [2466-3648]","992 [800-1184]","32.9 [26.6-39.3]","50.5 [40.7-60.2]","15.9 [12.8-19.0]"
"Malawi","2003","3917 [3154-4681]","2905 [2339-3472]","1012 [815-1209]","32.6 [26.3-39.0]","49.1 [39.6-58.7]","16.6 [13.4-19.9]"
"Malawi","2002","3893 [3131-4654]","2869 [2307-3429]","1025 [824-1225]","33.2 [26.7-39.7]","49.7 [40.0-59.4]","17.2 [13.9-20.6]"
"Malawi","2001","3700 [2970-4430]","2700 [2167-3233]","1000 [803-1198]","32.4 [26.0-38.8]","47.9 [38.4-57.3]","17.3 [13.9-20.7]"
"Malawi","2000","3480 [2792-4168]","2509 [2013-3005]","972 [779-1164]","31.2 [25.0-37.4]","45.6 [36.6-54.6]","17.2 [13.8-20.6]"
"Malaysia","2019","7181 [6350-8015]","5941 [5253-6631]","1240 [1096-1384]","22.5 [19.9-25.1]","36.2 [32.0-40.4]","8.0 [7.1-8.9]"
"Malaysia","2018","7153 [6312-7995]","5904 [5210-6599]","1249 [1102-1396]","22.7 [20.0-25.4]","36.4 [32.1-40.7]","8.2 [7.2-9.1]"
"Malaysia","2017","7123 [6274-7974]","5874 [5173-6575]","1250 [1101-1399]","22.9 [20.2-25.6]","36.7 [32.3-41.1]","8.3 [7.3-9.3]"
"Malaysia","2016","7374 [6482-8266]","6063 [5330-6797]","1311 [1152-1469]","24.0 [21.1-26.9]","38.4 [33.8-43.0]","8.8 [7.7-9.9]"
"Malaysia","2015","6914 [6066-7762]","5665 [4970-6359]","1249 [1096-1403]","22.8 [20.0-25.6]","36.3 [31.9-40.8]","8.5 [7.5-9.6]"
"Malaysia","2014","6881 [6024-7738]","5633 [4932-6335]","1248 [1092-1403]","23.0 [20.2-25.9]","36.6 [32.1-41.2]","8.6 [7.5-9.7]"
"Malaysia","2013","7129 [6243-8016]","5833 [5108-6559]","1296 [1135-1457]","24.2 [21.2-27.2]","38.4 [33.6-43.2]","9.1 [7.9-10.2]"
"Malaysia","2012","7131 [6247-8016]","5841 [5117-6566]","1290 [1130-1450]","24.5 [21.5-27.6]","39.0 [34.1-43.8]","9.2 [8.0-10.3]"
"Malaysia","2011","7090 [6210-7971]","5814 [5093-6537]","1276 [1117-1434]","24.7 [21.7-27.8]","39.3 [34.5-44.2]","9.2 [8.1-10.3]"
"Malaysia","2010","7085 [6206-7964]","5801 [5082-6521]","1284 [1124-1443]","25.1 [22.0-28.2]","39.9 [34.9-44.8]","9.4 [8.2-10.6]"
"Malaysia","2009","6954 [6089-7819]","5698 [4989-6407]","1256 [1100-1412]","25.1 [22.0-28.2]","39.9 [34.9-44.8]","9.3 [8.2-10.5]"
"Malaysia","2008","6729 [5899-7560]","5515 [4835-6197]","1214 [1064-1363]","24.7 [21.7-27.8]","39.3 [34.5-44.2]","9.2 [8.1-10.3]"
"Malaysia","2007","6477 [5680-7273]","5294 [4643-5945]","1183 [1037-1328]","24.2 [21.3-27.2]","38.5 [33.8-43.3]","9.1 [8.0-10.2]"
"Malaysia","2006","6482 [5680-7284]","5301 [4645-5957]","1181 [1035-1327]","24.7 [21.7-27.8]","39.4 [34.5-44.3]","9.3 [8.1-10.4]"
"Malaysia","2005","6392 [5603-7181]","5236 [4590-5883]","1156 [1013-1298]","24.9 [21.8-28.0]","39.8 [34.9-44.7]","9.2 [8.1-10.4]"
"Malaysia","2004","6421 [5674-7168]","5290 [4675-5906]","1131 [999-1262]","25.5 [22.5-28.5]","41.0 [36.3-45.8]","9.2 [8.1-10.3]"
"Malaysia","2003","6481 [5761-7201]","5345 [4752-5939]","1136 [1009-1262]","26.2 [23.3-29.2]","42.3 [37.6-47.0]","9.4 [8.4-10.4]"
"Malaysia","2002","6074 [5395-6752]","4987 [4429-5543]","1087 [966-1209]","25.1 [22.3-27.9]","40.3 [35.8-44.9]","9.2 [8.2-10.2]"
"Malaysia","2001","6030 [5355-6706]","4968 [4412-5525]","1062 [943-1181]","25.4 [22.6-28.3]","41.1 [36.5-45.7]","9.1 [8.1-10.2]"
